id,code,uic,name_short,name_medium,name_long,slug,country,type
164,EDN,8400219,Eijsden,Eijsden,Eijsden,eijsden,NL,stoptreinstation
168,EHV,8400206,Eindhovn C,Eindhoven C.,Eindhoven Centraal,eindhoven-centraal,NL,megastation
784,EHS,8400196,Strijp-S,Strijp-S,Eindhoven Strijp-S,eindhoven-strijp-s,NL,stoptreinstation
625,LKR,8821071,Ekeren,Ekeren,Ekeren,ekeren,B,stoptreinstation
184,EST,8400207,Elst,Elst,Elst,elst,NL,knooppuntStoptreinstation
173,EMN,8400208,Emmen,Emmen,Emmen,emmen,NL,sneltreinstation
174,EMNZ,8400407,Emmen Z,Emmen Zuid,Emmen Zuid,emmen-zuid,NL,sneltreinstation
171,EM,8010288,Emmerich,Emmerich,Emmerich,emmerich,D,knooppuntStoptreinstation
825,EL,8033415,Elten,Emmerich-Elten,Emmerich-Elten,emmerich-elten,D,stoptreinstation
170,EKZ,8400210,Enkhuizen,Enkhuizen,Enkhuizen,enkhuizen,NL,stoptreinstation
585,EENP,8008134,Ennepetal,Ennepetal,Ennepetal,ennepetal,D,stoptreinstation
178,ES,8400212,Enschede,Enschede,Enschede,enschede,NL,knooppuntIntercitystation
181,ESE,8400217,Eschmarke,De Eschmarke,Enschede De Eschmarke,enschede-de-eschmarke,NL,stoptreinstation
785,ESK,8400221,Kennispark,Kennispark,Enschede Kennispark,enschede-kennispark,NL,stoptreinstation
586,EEPE,8021126,Epe (West),Epe (Westf),Epe (Westf),epe-westf,D,stoptreinstation
172,EML,8400216,Ermelo,Ermelo,Ermelo,ermelo,NL,stoptreinstation
183,ESN,8821402,Essen,Essen,Essen,essen,B,stoptreinstation
185,ETN,8400218,Etten-Leur,Etten-Leur,Etten-Leur,etten-leur,NL,intercitystation
165,EGH,8400338,Eygelshov,Eygelshoven,Eygelshoven,eygelshoven,NL,stoptreinstation
166,EGHM,8400234,Eygelsh M,Eygelshoven Mrkt,Eygelshoven Markt,eygelshoven-markt,NL,stoptreinstation
786,FWD,8400638,Feanwälden,Feanwälden,Feanwälden,feanwalden,NL,stoptreinstation
689,LIVOR,8306900,Firenze C,Firenze Campo M,Firenze Campo di Marte,firenze-campo-di-marte,I,intercitystation
187,FN,8400232,Franeker,Franeker,Franeker,franeker,NL,stoptreinstation
186,FFFM,8011068,Frankfurt,Frankfurt Hbf,Frankfurt (M) Hbf,frankfurt-m-hbf,D,knooppuntIntercitystation
828,FFS,8011065,Frankf.Süd,Frankfurt (M)Süd,Frankfurt (Main) Süd,frankfurt-main-sud,D,intercitystation
189,FNAF,8061676,FrankfurtF,Frankfurt Flugh.,Frankfurt Flughafen Fernb,frankfurt-flughafen-fernb,D,knooppuntIntercitystation
593,RF,8014350,Freiburg,Freiburg (B.),Freiburg (Breisgau) Hbf,freiburg-breisgau-hbf,D,sneltreinstation
199,GDR,8400241,Gaanderen,Gaanderen,Gaanderen,gaanderen,NL,stoptreinstation
198,GDM,8400244,Geldermlsn,Geldermalsen,Geldermalsen,geldermalsen,NL,knooppuntStoptreinstation
209,GP,8400245,Geldrop,Geldrop,Geldrop,geldrop,NL,knooppuntStoptreinstation
203,GLN,8400246,Geleen O,Geleen Oost,Geleen Oost,geleen-oost,NL,stoptreinstation
320,LUT,8400248,Geleen-Lut,Geleen-Lut.,Geleen-Lutterade,geleen-lutterade,NL,stoptreinstation
845,FGSP,8892007,Gent St. P,Gent St. Pieters,Gent Sint Pieters,gent-sint-pieters,B,stoptreinstation
218,GZ,8400251,Gilze-Rij,Gilze-Rijen,Gilze-Rijen,gilze-rijen,NL,stoptreinstation
194,GBR,8400262,Glanerbrug,Glanerbrug,Glanerbrug,glanerbrug,NL,stoptreinstation
753,LGL,8841731,Glons,Glons,Glons,glons,B,stoptreinstation
211,GS,8400253,Goes,Goes,Goes,goes,NL,stoptreinstation
207,GO,8400254,Goor,Goor,Goor,goor,NL,stoptreinstation
597,TGO,8029066,Göppingen,Göppingen,Göppingen,goppingen,D,sneltreinstation
210,GR,8400256,Gorinchem,Gorinchem,Gorinchem,gorinchem,NL,knooppuntStoptreinstation
